#ice-age (yr b1950)	R
10433.7	1.521929352
10452.5	1.449654172
10472.2	1.449654172
10491.9	1.449654172
10511.6	1.432760316
10531.56667	1.432760316
10551.53333	1.432760316
10571.5	1.61422346
10589.2	1.61422346
10606.9	1.61422346
10624.6	1.675986152
10641.63333	1.675986152
10658.66667	1.675986152
10675.7	1.458334386
10695.3	1.458334386
10714.9	1.458334386
10734.5	1.472992576
10753.9	1.472992576
10773.3	1.472992576
10792.7	1.510056024
10811.63333	1.510056024
10830.56667	1.510056024
10849.5	1.432395805
10869.5	1.432395805
10889.5	1.432395805
10909.5	1.482013001
10928.8	1.482013001
10948.1	1.482013001
10967.4	1.490241222
10986.6	1.490241222
11005.8	1.490241222
11025	1.474343696
11044.43333	1.474343696
11063.86667	1.474343696
11083.3	1.416308733
11103.53333	1.416308733
11123.76667	1.416308733
11144	1.529127223
11162.76667	1.529127223
11181.53333	1.529127223
11200.3	1.457979596
11219.96667	1.457979596
11239.63333	1.457979596
11259.3	1.38619043
11280.03333	1.38619043
11300.76667	1.38619043
11321.5	1.534303275
11340.23333	1.534303275
11358.96667	1.534303275
11377.7	1.471179743
11397.26667	1.471179743
11416.83333	1.471179743
11436.4	1.492778217
11455.66667	1.492778217
11474.93333	1.492778217
11494.2	1.511567528
11513.23333	1.511567528
11532.26667	1.511567528
11551.3	1.40291418
11571.83333	1.40291418
11592.36667	1.40291418
11612.9	1.548572654
11631.5	1.548572654
11650.1	1.548572654
11668.7	1.547119471
11687.33333	1.547119471
11705.96667	1.547119471
11724.6	1.391949699
11745.33333	1.391949699
11766.06667	1.391949699
11786.8	1.440337278
11806.83333	1.440337278
11826.86667	1.440337278
11846.9	1.477405586
11866.43333	1.477405586
11885.96667	1.477405586
11905.5	1.427035068
11925.73333	1.427035068
11945.96667	1.427035068
11966.2	1.365529964
11987.36667	1.365529964
12008.53333	1.365529964
12029.7	1.270295469
12052.43333	1.270295469
12075.16667	1.270295469
12097.9	1.243652168
12121.16667	1.243652168
12144.43333	1.243652168
12167.7	1.250679934
12190.86667	1.250679934
12214.03333	1.250679934
12237.2	1.196270638
12261.4	1.196270638
12285.6	1.196270638
12309.8	1.11284143
12335.83333	1.11284143
12361.86667	1.11284143
12387.9	1.152194004
12413.06667	1.152194004
12438.23333	1.152194004
12463.4	1.165855865
12488.26667	1.165855865
12513.13333	1.165855865
12538	1.047156603
12565.7	1.047156603
12593.4	1.047156603
12621.1	1.074363681
12648.1	1.074363681
12675.1	1.074363681
12702.1	1.049664436
12729.76667	1.049664436
12757.43333	1.049664436
12785.1	0.943130111
12815.86667	0.943130111
12846.63333	0.943130111
12877.4	0.984732931
12906.86667	0.984732931
12936.33333	0.984732931
12965.8	0.977787788
12995.5	0.977787788
13025.2	0.977787788
13054.9	0.98025188
13084.5	0.98025188
13114.1	0.98025188
13143.7	0.990501921
13173	0.990501921
13202.3	0.990501921
13231.6	0.985403631
13261.06667	0.985403631
13290.53333	0.985403631
13320	0.974599534
13349.8	0.974599534
13379.6	0.974599534
13409.4	1.006666755
13438.23333	1.006666755
13467.06667	1.006666755
13495.9	1.025217919
13524.23333	1.025217919
13552.56667	1.025217919
13580.9	1.024775646
13609.2	1.024775646
13637.5	1.024775646
13665.8	0.935582309
13696.83333	0.935582309
13727.86667	0.935582309
13758.9	1.014807494
13787.5	1.014807494
13816.1	1.014807494
13844.7	1.005233013
13873.56667	1.005233013
13902.43333	1.005233013
13931.3	0.93765273
13962.23333	0.93765273
13993.16667	0.93765273
14024.1	0.97548408
14053.83333	0.97548408
14083.56667	0.97548408
14113.3	1.037047506
14141.26667	1.037047506
14169.23333	1.037047506
14197.2	0.999580667
14226.2	0.999580667
14255.2	0.999580667
14284.2	1.116107446
14310.2	1.116107446
14336.2	1.116107446
14362.2	1.044084993
14389.93333	1.044084993
14417.66667	1.044084993
14445.4	1.073761023
14472.4	1.073761023
14499.4	1.073761023
14526.4	1.090319529
14552.96667	1.090319529
14579.53333	1.090319529
14606.1	1.243802832
14629.36667	1.243802832
14652.63333	1.243802832
14675.9	1.163902088
14700.83333	1.163902088
14725.76667	1.163902088
14750.7	1.044318279
14778.46667	1.044318279
14806.23333	1.044318279
14834	1.035992855
14862.03333	1.035992855
14890.06667	1.035992855
14918.1	0.998953709
14947.2	0.998953709
14976.3	0.998953709
15005.4	0.935008812
15036.5	0.935008812
15067.6	0.935008812
15098.7	0.981544678
15128.36667	0.981544678
15158.03333	0.981544678
15187.7	1.018020048
15216.36667	1.018020048
15245.03333	1.018020048
15273.7	0.967620369
15303.86667	0.967620369
15334.03333	0.967620369
15364.2	1.01162896
15393.06667	1.01162896
15421.93333	1.01162896
15450.8	0.968213307
15481	0.968213307
15511.2	0.968213307
15541.4	0.9632025
15571.8	0.9632025
15602.2	0.9632025
15632.6	0.888103576
15665.56667	0.888103576
15698.53333	0.888103576
15731.5	0.873037134
15765.1	0.873037134
15798.7	0.873037134
15832.3	0.906897748
15864.66667	0.906897748
15897.03333	0.906897748
15929.4	0.88381207
15962.63333	0.88381207
15995.86667	0.88381207
16029.1	0.885673505
16062.26667	0.885673505
16095.43333	0.885673505
16128.6	0.896623406
16161.43333	0.896623406
16194.26667	0.896623406
16227.1	0.860702092
16261.33333	0.860702092
16295.56667	0.860702092
16329.8	0.850500653
16364.46667	0.850500653
16399.13333	0.850500653
16433.8	0.818977768
16469.83333	0.818977768
16505.86667	0.818977768
16541.9	0.831827985
16577.4	0.831827985
16612.9	0.831827985
16648.4	0.818807663
16684.5	0.818807663
16720.6	0.818807663
16756.7	0.813398324
16793.06667	0.813398324
16829.43333	0.813398324
16865.8	0.790259186
16903.3	0.790259186
16940.8	0.790259186
16978.3	0.750551821
17017.76667	0.750551821
17057.23333	0.750551821
17096.7	0.750138708
17136.26667	0.750138708
17175.83333	0.750138708
17215.4	0.713114142
17257.03333	0.713114142
17298.66667	0.713114142
17340.3	0.697600567
17382.9	0.697600567
17425.5	0.697600567
17468.1	0.73145146
17508.76667	0.73145146
17549.43333	0.73145146
17590.1	0.702033017
17632.5	0.702033017
17674.9	0.702033017
17717.3	0.686086889
17760.73333	0.686086889
17804.16667	0.686086889
17847.6	0.666495654
17892.36667	0.666495654
17937.13333	0.666495654
17981.9	0.641237493
18028.46667	0.641237493
18075.03333	0.641237493
18121.6	0.685610595
18165.2	0.685610595
18208.8	0.685610595
18252.4	0.672711777
18296.86667	0.672711777
18341.33333	0.672711777
18385.8	0.656765649
18431.43333	0.656765649
18477.06667	0.656765649
18522.7	0.68748661
18566.33333	0.68748661
18609.96667	0.68748661
18653.6	0.674767617
18698.1	0.674767617
18742.6	0.674767617
18787.1	0.657110719
18832.83333	0.657110719
18878.56667	0.657110719
18924.3	0.711029141
18966.63333	0.711029141
19008.96667	0.711029141
19051.3	0.679690942
19095.63333	0.679690942
19139.96667	0.679690942
19184.3	0.693163257
19227.8	0.693163257
19271.3	0.693163257
19314.8	0.687024897
19358.73333	0.687024897
19402.66667	0.687024897
19446.6	0.681285068
19490.93333	0.681285068
19535.26667	0.681285068
19579.6	0.709818966
