LON	LAT	x	y	distance (km)	QL_bed	A_basal_unit	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
123.219887	-75.156609	1356494.307	-888337.6015	13.4	3181.26	nan	1046.7	1172.32	1236.4	1309.6	1487.57	1574.06	1723.06	1874.28	1976.76	2113.21	2186.83	2298.44	2321.66	2485.92	2527.11	2571.45	2625.84	2680.86	2779.9
123.217926	-75.15741	1356450.715	-888242.7195	13.5	3182.7	nan	1047.25	1173.37	1237	1310.18	1488.85	1574.67	1724.41	1875.52	1978.75	2115.52	2188.76	2300.24	2323.54	2489.3	2527.72	2572.98	2626.86	2682.31	2780.83
123.216057	-75.158218	1356405.046	-888149.5963	13.6	3178.61	nan	1046.36	1173.84	1236.51	1310.46	1489.92	1575.74	1725.75	1877.65	1980.74	2117.12	2189.99	2302.49	2325.05	2491.06	2528.01	2574.51	2627.88	2684.23	2777.68
123.214073	-75.159019	1356361.801	-888054.178	13.7	3163.89	nan	1048.75	1174.31	1236.98	1310.47	1491	1576.87	1727.1	1879.24	1983.25	2118.73	2191.22	2303.19	2326.03	2492.21	2528.3	2576.04	2628.77	2685.22	2773.95
123.212234	-75.159836	1356314.826	-887961.2287	13.8	3153.19	nan	1046.62	1174.78	1237.9	1311.02	1492.08	1577.88	1728.86	1880.29	1984.71	2120.34	2192.45	2304.42	2325.41	2492.5	2528.59	2577.38	2629.66	2686.68	2772.11
123.210457	-75.16066	1356266.239	-887869.3276	13.9	3149.67	nan	1046.3	1175.25	1237.2	1311.41	1493.15	1579.19	1730.77	1882.06	1986.7	2121.94	2193.68	2306.05	2325.94	2493.75	2530.99	2577.99	2630.56	2688.13	2773.54
123.208557	-75.161469	1356220.94	-887775.4262	14	3149.47	nan	1045.79	1175.72	1237.98	1312.23	1494.23	1580.24	1732.68	1884.25	1988.69	2123.55	2194.91	2307.63	2328.08	2495.58	2535.18	2578.6	2632.02	2689.58	2781.18
123.206635	-75.162277	1356176.069	-887681.0685	14.1	3148.99	nan	1045.53	1176.19	1238.11	1313.51	1495.31	1581.78	1734.59	1886.85	1990.97	2126.04	2196.14	2310.33	2331.5	2499.35	2540.61	2580.53	2636.25	2691.04	2790.45
123.20472	-75.163086	1356130.993	-887586.8202	14.2	3149.87	nan	1045.51	1176.66	1239.14	1314.3	1496.38	1583.64	1736.49	1889.44	1993.46	2129.59	2199.35	2312.38	2334.4	2502.75	2547.57	2585.36	2640.96	2700.15	2802.5
123.202744	-75.163879	1356088.335	-887492.0997	14.3	3156.69	nan	1045.08	1177.09	1239.6	1314.95	1497.37	1585.43	1738.4	1892.54	1995.94	2133.13	2203.15	2317.45	2341.1	2507.54	2554.71	2590.18	2647.64	2715.02	2815.62
123.200806	-75.164688	1356043.605	-887397.3152	14.4	3166.93	nan	1046.98	1177.09	1240.48	1315.81	1498.68	1587.3	1740.11	1895.39	1998.42	2136.68	2206.95	2321	2342.68	2513.84	2561.12	2597.62	2659.05	2729.88	2828.74
123.198898	-75.165497	1355998.407	-887303.2448	14.5	3177.82	nan	1047	1177.17	1241.15	1316.7	1500.03	1589.02	1741.78	1898.36	2000.91	2139.73	2210.75	2325.36	2347.18	2519.55	2563.9	2608.99	2670.45	2744.74	2841.86
123.197037	-75.166313	1355951.829	-887209.8676	14.6	3191.66	nan	1046.74	1177.09	1241.6	1317.61	1501.59	1590.35	1743.44	1900.64	2003.39	2142.72	2214.54	2329.44	2351.39	2525.48	2563.32	2620.36	2680.48	2752.05	2854.99
123.195229	-75.16713	1355904.333	-887117.6883	14.7	3206.32	nan	1046.08	1177.09	1242.2	1318.09	1503.1	1591.69	1745.1	1902.52	2005.88	2145.52	2215.8	2329.01	2352.24	2525.46	2557.74	2617.84	2674.01	2754.27	2856.77
123.193413	-75.167953	1355856.403	-887024.9609	14.8	3203.19	nan	1046.26	1177.09	1242.63	1319.33	1503.44	1592.6	1746.76	1903.34	2008.36	2144.68	2216.81	2326.26	2349.63	2520.17	2554.79	2611.2	2665.67	2750.45	2845.28
123.191505	-75.168762	1355811.186	-886930.9068	14.9	3166.82	nan	1046.58	1177.09	1243.04	1319.4	1504.87	1593.39	1747.68	1903.5	2007.97	2143.09	2214.48	2323.53	2346.58	2516.64	2551.85	2604.57	2657.32	2737.4	2833.78
123.189537	-75.169556	1355768.279	-886836.3436	15	3106.3	nan	1046.12	1177.09	1242.64	1320.17	1505.72	1594.08	1748.25	1903.84	2007.59	2141.22	2212.21	2320.72	2341.21	2512.14	2548.9	2600.85	2652.12	2727.47	2821.37
123.187096	-75.170227	1355744.054	-886738.0267	15.1	3072.64	nan	1046.93	1177.09	1244.14	1321.06	1506.5	1595.31	1748.8	1904.34	2007.49	2139.2	2209.98	2318.5	2341.07	2509.82	2546.04	2597.7	2647.61	2724.44	2816.11
123.184395	-75.170815	1355731.517	-886638.5776	15.2	3062.03	nan	1047.67	1177.09	1244.65	1322.05	1507.27	1596.32	1749.35	1904.75	2006.8	2137.19	2207.75	2317.02	2339.23	2507.45	2544.75	2595.72	2644.01	2721.42	2812.09
123.181938	-75.171448	1355711.039	-886542.1857	15.3	3057.26	nan	1048.07	1177.09	1245.32	1323.03	1508.78	1597.61	1749.89	1905.63	2007.15	2136.66	2205.58	2315.66	2336.12	2506.27	2544.33	2594.42	2643.93	2718.48	2809.53
123.179306	-75.172073	1355694.003	-886442.1399	15.4	3056.73	nan	1048.09	1177.39	1246.61	1324.78	1510.79	1599.09	1750.74	1906.34	2008.75	2136.28	2203.35	2313.92	2334.38	2504.2	2543.89	2593.08	2643.84	2715.45	2806.89
123.17691	-75.172737	1355669.705	-886345.3251	15.5	3060.19	nan	1048.72	1179.64	1248.4	1325.83	1512.12	1600.22	1751.78	1907.21	2009.7	2135.89	2203.6	2313.5	2335.57	2502.94	2544.56	2594.34	2644.38	2716.19	2807
123.173187	-75.173035	1355699.753	-886239.2292	15.6	3066.95	nan	1050.57	1181.36	1249.11	1328.48	1515.11	1602.97	1752.92	1909.88	2011.08	2135.46	2204.04	2313.79	2336.28	2503.08	2546.21	2595.7	2647.62	2718.45	2811.57
123.169067	-75.173264	1355742.311	-886127.9077	15.7	3075.11	nan	1051.57	1183.23	1253.27	1331.11	1517.92	1606.26	1756.29	1912.62	2013.24	2137.27	2205.7	2315.46	2335.94	2505.25	2549.35	2597.76	2651.38	2720.91	2817.68
123.164925	-75.17347	1355787.327	-886017.4534	15.8	3072.28	nan	1053.25	1185.12	1254.52	1334.16	1521.11	1609.5	1759.71	1915.94	2015.98	2141.83	2207.87	2316.95	2339.44	2507.72	2552.49	2600.68	2655.56	2724.12	2824.51
123.160919	-75.173698	1355828.196	-885908.8867	15.9	3067.37	nan	1054.33	1187.65	1257.16	1337.23	1524.37	1612.82	1763.04	1919.1	2018.18	2144.51	2209.98	2317.77	2339.23	2509.88	2555.55	2603.53	2659.63	2728.27	2831.62
123.156944	-75.173965	1355864.973	-885798.6969	16	3069.42	nan	1057.2	1190.17	1260.05	1340.39	1527.57	1616.39	1766.38	1922.01	2021.42	2146.93	2212.1	2319.51	2340.7	2511.41	2558.39	2606.38	2663.71	2732.41	2835.78
123.153282	-75.174309	1355889.785	-885691.2638	16.1	3075.83	nan	1058.1	1192.57	1262.72	1343.11	1530.67	1619.58	1769.17	1925.55	2024.01	2148.82	2214.1	2321.55	2341.81	2511.72	2560.35	2609.08	2668.54	2736.34	2837.97
123.149445	-75.174606	1355921.638	-885582.5275	16.2	3077.74	nan	1060.51	1195.03	1266.94	1346.42	1533.72	1623.16	1772.79	1929.15	2026.66	2151.5	2216.16	2324.02	2344.32	2516.09	2562.36	2611.86	2673.92	2740.38	2840.22
123.146111	-75.175011	1355935.725	-885479.1745	16.3	3078.96	nan	1062.84	1197.3	1268.75	1349.22	1536.88	1626.12	1775.58	1931.64	2029.11	2152.76	2217.93	2324.88	2344.69	2516.7	2564.22	2614.42	2678.88	2744.1	2842.29
123.142654	-75.175407	1355952.537	-885373.4553	16.4	3083.16	nan	1064.78	1199.63	1271.84	1351.86	1539.94	1629.05	1778.45	1934.17	2031.73	2154.04	2219.02	2326.29	2347.82	2519.71	2566.13	2617.05	2683.98	2747.92	2848.82
