#depth (m)	ice-age (yr b1950)	origin	thinning
213.4	6.478293333	NaN	NaN
213.95	6.497616667	NaN	NaN
214.5	6.51694	NaN	NaN
215.05	6.538106667	NaN	NaN
215.6	6.559273333	NaN	NaN
216.15	6.58044	NaN	NaN
216.7	6.601086667	NaN	NaN
217.25	6.621733333	NaN	NaN
217.8	6.64238	NaN	NaN
218.35	6.66373	NaN	NaN
218.9	6.68508	NaN	NaN
219.45	6.70643	NaN	NaN
220	6.726483333	NaN	NaN
220.55	6.746536667	NaN	NaN
221.1	6.76659	NaN	NaN
221.65	6.787346667	NaN	NaN
222.2	6.808103333	NaN	NaN
222.75	6.82886	NaN	NaN
223.3	6.849363333	NaN	NaN
223.85	6.869866667	NaN	NaN
224.4	6.89037	NaN	NaN
224.95	6.909136667	NaN	NaN
225.5	6.927903333	NaN	NaN
226.05	6.94667	NaN	NaN
226.6	6.96715	NaN	NaN
227.15	6.98763	NaN	NaN
227.7	7.00811	NaN	NaN
228.25	7.028583333	NaN	NaN
228.8	7.049056667	NaN	NaN
229.35	7.06953	NaN	NaN
229.9	7.090653333	NaN	NaN
230.45	7.111776667	NaN	NaN
231	7.1329	NaN	NaN
231.55	7.154113333	NaN	NaN
232.1	7.175326667	NaN	NaN
232.65	7.19654	NaN	NaN
233.2	7.21926	NaN	NaN
233.75	7.24198	NaN	NaN
234.3	7.2647	NaN	NaN
234.85	7.286306667	NaN	NaN
235.4	7.307913333	NaN	NaN
235.95	7.32952	NaN	NaN
236.5	7.348993333	NaN	NaN
237.05	7.368466667	NaN	NaN
237.6	7.38794	NaN	NaN
238.15	7.40991	NaN	NaN
238.7	7.43188	NaN	NaN
239.25	7.45385	NaN	NaN
239.8	7.47543	NaN	NaN
240.35	7.49701	NaN	NaN
240.9	7.51859	NaN	NaN
241.45	7.539016667	NaN	NaN
242	7.559443333	NaN	NaN
242.55	7.57987	NaN	NaN
243.1	7.59907	NaN	NaN
243.65	7.61827	NaN	NaN
244.2	7.63747	NaN	NaN
244.75	7.65755	NaN	NaN
245.3	7.67763	NaN	NaN
245.85	7.69771	NaN	NaN
246.4	7.717826667	NaN	NaN
246.95	7.737943333	NaN	NaN
247.5	7.75806	NaN	NaN
248.05	7.778086667	NaN	NaN
248.6	7.798113333	NaN	NaN
249.15	7.81814	NaN	NaN
249.7	7.838503333	NaN	NaN
250.25	7.858866667	NaN	NaN
250.8	7.87923	NaN	NaN
251.35	7.89972	NaN	NaN
251.9	7.92021	NaN	NaN
252.45	7.9407	NaN	NaN
253	7.960806667	NaN	NaN
253.55	7.980913333	NaN	NaN
254.1	8.00102	NaN	NaN
254.65	8.022516667	NaN	NaN
255.2	8.044013333	NaN	NaN
