# distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
15.8	1053.25	1185.12	1254.52	1334.16	1521.11	1609.5	1759.71	1915.94	2015.98	2141.83	2207.87	2316.95	2339.44	2507.72	2552.49	2600.68	2655.56	2724.12	2824.51
15.9	1054.33	1187.65	1257.16	1337.23	1524.37	1612.82	1763.04	1919.1	2018.18	2144.51	2209.98	2317.77	2339.23	2509.88	2555.55	2603.53	2659.63	2728.27	2831.62
16	1057.2	1190.17	1260.05	1340.39	1527.57	1616.39	1766.38	1922.01	2021.42	2146.93	2212.1	2319.51	2340.7	2511.41	2558.39	2606.38	2663.71	2732.41	2835.78
16.1	1058.1	1192.57	1262.72	1343.11	1530.67	1619.58	1769.17	1925.55	2024.01	2148.82	2214.1	2321.55	2341.81	2511.72	2560.35	2609.08	2668.54	2736.34	2837.97
16.2	1060.51	1195.03	1266.94	1346.42	1533.72	1623.16	1772.79	1929.15	2026.66	2151.5	2216.16	2324.02	2344.32	2516.09	2562.36	2611.86	2673.92	2740.38	2840.22
16.3	1062.84	1197.3	1268.75	1349.22	1536.88	1626.12	1775.58	1931.64	2029.11	2152.76	2217.93	2324.88	2344.69	2516.7	2564.22	2614.42	2678.88	2744.1	2842.29
16.4	1064.78	1199.63	1271.84	1351.86	1539.94	1629.05	1778.45	1934.17	2031.73	2154.04	2219.02	2326.29	2347.82	2519.71	2566.13	2617.05	2683.98	2747.92	2848.82
16.5	1066.39	1201.83	1275.53	1355.74	1543.05	1633.13	1781.48	1937.76	2033.61	2155.4	2220.06	2329.4	2349.88	2522.22	2568.14	2622.17	2689.37	2752.22	2855.04
16.6	1068.54	1203.69	1278.01	1359.29	1546.23	1635.99	1784.68	1940.51	2035.23	2156.69	2221.87	2330.65	2351.34	2524.51	2570.05	2625.48	2694.47	2756.34	2859.18
16.7	1070.29	1205.45	1280.07	1360.54	1549.09	1638.43	1786.78	1942.31	2036.77	2157.91	2222.29	2332.27	2352.36	2526.71	2571.85	2629.16	2699.29	2761.53	2863.1
16.8	1070.07	1207.78	1280.66	1361.16	1547.83	1638.06	1790.64	1941.71	2038.72	2158.9	2223.65	2330.95	2351.27	2528.46	2574.62	2634.03	2705.66	2768.41	2868.28
16.9	1072.02	1209.59	1282.7	1363.17	1548.19	1640.49	1793.2	1943.7	2039.98	2159.32	2224.71	2333.19	2354.47	2530.57	2576.9	2637.82	2710.62	2773.75	2883.75
17	1073.77	1211.35	1285.11	1364.94	1550.34	1642.78	1795.11	1945.42	2041.21	2159.73	2225.74	2334.34	2356.55	2532.73	2578.53	2640.53	2713.77	2779.51	2897.7
17.1	1075.09	1213.3	1286.71	1368.65	1552.48	1644.85	1797.03	1947.66	2042.36	2160.14	2226.87	2334.92	2355.77	2533.24	2579.62	2640.53	2714.52	2784.14	2903.46
17.2	1079.03	1215.68	1289.71	1370.25	1554.56	1646.91	1798.89	1949.06	2043.47	2161.39	2228.32	2335.86	2356.72	2532.61	2580.5	2640.53	2714.52	2789.18	2909.06
17.3	1079.16	1218.52	1292.36	1372.16	1556.71	1648.94	1800.81	1950.34	2044.85	2164.24	2229.82	2336.9	2357.04	2535.8	2581.97	2640.86	2714.42	2794.37	2914.82
17.4	1080.46	1220.54	1293.69	1373.95	1558.79	1650.42	1802.67	1952.02	2046.04	2167	2231.27	2338.8	2358.38	2537.73	2587.21	2643.07	2716.72	2799.93	2919.83
17.5	1082.48	1223	1295.79	1376.34	1560.47	1652.35	1804.28	1953.77	2047.26	2169.84	2232.76	2340.28	2359.99	2540.33	2592.36	2645.33	2721.49	2806.63	2926.43
17.6	1082.37	1225.46	1297.25	1377.11	1561.84	1653.58	1805.23	1954.85	2047.71	2170.92	2234.25	2342.21	2362.48	2542.46	2596.72	2649.46	2727.15	2813.15	2933.02
17.7	1085.25	1227.35	1298.85	1379.41	1563.42	1654.71	1806.15	1956.28	2049.17	2170.07	2235.7	2344.64	2365.81	2548.53	2600.06	2654.24	2733.51	2819.23	2939.42
17.8	1087.73	1227.84	1300.76	1379.47	1563.47	1655.46	1807.1	1956.72	2049.05	2169.98	2235.24	2345.61	2366.31	2550.99	2600.31	2657.01	2734.29	2817.04	2945.83
17.9	1086.49	1228.42	1300.78	1379.62	1563.23	1655.31	1808.05	1955.9	2047.89	2168.63	2233.8	2344.48	2365.01	2551.07	2600.55	2657.67	2730.87	2812.67	2952.61
18	1087.41	1229.43	1301.11	1379.99	1562.6	1654.67	1808.97	1954.61	2046.24	2165.51	2229.56	2341.49	2362.39	2547.97	2595.24	2652.94	2723.44	2800.22	2957.49
18.1	1085.94	1229.27	1300.63	1382.13	1561.47	1653.22	1808.56	1951.2	2043.63	2162.09	2223.76	2337.15	2356.25	2541.03	2586.52	2644.19	2715.77	2787.39	2962.41
18.2	1085.2	1229.7	1300.21	1378.53	1560.34	1651.31	1804.91	1948.01	2039.18	2156.61	2217.96	2329.66	2348.39	2533.25	2577.79	2633.05	2704.83	2774.56	2957.9
18.3	1087.22	1228.05	1299.6	1377.35	1558.97	1648.77	1801.37	1944.73	2034.86	2151.44	2212.33	2323.71	2342.83	2524.47	2569.32	2623.5	2694.37	2762.11	2950.22
18.4	1086.44	1227.08	1298.57	1375.92	1555.9	1646.13	1797.72	1940.4	2029.6	2145.65	2206.52	2316.73	2338.23	2517	2560.59	2613.85	2683.27	2750.14	2938.65
18.5	1086.58	1225.66	1296.97	1373.88	1552.93	1643.14	1794.23	1935.77	2024.33	2139.96	2200.89	2311.04	2329.45	2511	2552.12	2604.47	2672.65	2737.61	2925.88
18.6	1084.73	1224.19	1295.68	1371.82	1549.74	1639.67	1790.74	1930.97	2019.2	2134.13	2195.09	2304.01	2323.17	2499.62	2543.4	2596.75	2661.82	2725.27	2910.58
18.7	1084.31	1222.72	1293.79	1369.94	1545.51	1636.23	1787.25	1926.27	2014.29	2128.29	2189.28	2296.37	2316.36	2491.27	2534.67	2589.21	2651.2	2712.92	2891.15
18.8	1083.67	1221.61	1291.77	1367.84	1542.87	1633.03	1783.86	1921.52	2008.75	2122.62	2183.65	2289.95	2310.96	2482.79	2526.2	2581.89	2640.9	2700.94	2869.34
18.9	1082.52	1219.83	1290.12	1365.19	1538.76	1629.39	1780.48	1919.12	2003.82	2118.12	2177.85	2282.36	2302.49	2474.99	2517.47	2574.35	2630.28	2692	2842.24
19	1082.04	1218.67	1288.14	1363.42	1536.3	1626.45	1777.41	1912.48	1999.36	2113.61	2172.05	2276.1	2295.94	2467.5	2508.75	2566.81	2619.66	2685.07	2819.5
19.1	1082.74	1218.14	1286.76	1361.44	1534.12	1623.37	1774.42	1907.94	1995.02	2109.11	2166.41	2272.62	2287.31	2465.03	2500.97	2559.5	2611.67	2682.29	2800.07
