# depth age thinning accu x_origin accu_steady
7.300000000000000000e+01 1.885062363889457856e+03 9.757892381353733269e-01 2.478102864414605602e-02 3.659666425182766716e+02 1.650000000000000078e-02
7.400000000000000000e+01 1.919967092781721703e+03 9.753602471847933053e-01 2.468520459548963208e-02 3.658924439555359527e+02 1.650000000000000078e-02
7.500000000000000000e+01 1.954986171178126824e+03 9.749301029499449767e-01 2.427414937380181423e-02 3.658179199357678613e+02 1.650000000000000078e-02
7.600000000000000000e+01 1.990369042001664866e+03 9.744988145568543869e-01 2.368392362468833140e-02 3.657430262001151391e+02 1.650000000000000078e-02
7.700000000000000000e+01 2.026471147870974391e+03 9.740663912334650565e-01 2.390634722076137586e-02 3.656678065366479586e+02 1.650000000000000078e-02
7.800000000000000000e+01 2.063736888568272661e+03 9.736328421557214341e-01 2.454993954948220605e-02 3.655922166633027359e+02 1.650000000000000078e-02
7.900000000000000000e+01 2.100661691093353966e+03 9.731983023142694034e-01 2.438529073412896986e-02 3.655163003864440725e+02 1.650000000000000078e-02
8.000000000000000000e+01 2.136867976011699284e+03 9.727627802982180549e-01 2.391225187572520658e-02 3.654400574769127843e+02 1.650000000000000078e-02
8.100000000000000000e+01 2.173498294819933562e+03 9.723264099798686333e-01 2.359501715867059687e-02 3.653634877044361247e+02 1.650000000000000078e-02
8.200000000000000000e+01 2.211105001916028414e+03 9.718891993474924051e-01 2.526892662680063281e-02 3.652866349351851341e+02 1.650000000000000078e-02
8.300000000000000000e+01 2.249047533166999074e+03 9.714510315234424764e-01 2.504319266783270465e-02 3.652094548604722490e+02 1.650000000000000078e-02
8.400000000000000000e+01 2.284835255384614811e+03 9.710119151762075518e-01 2.428047704124629974e-02 3.651319472468132972e+02 1.650000000000000078e-02
8.500000000000000000e+01 2.321152580469363784e+03 9.705719833457634449e-01 2.174319994906781517e-02 3.650541118596010506e+02 1.650000000000000078e-02
8.600000000000000000e+01 2.359323321414598013e+03 9.701313682162988616e-01 2.255210754741512197e-02 3.649759926036915658e+02 1.650000000000000078e-02
8.700000000000000000e+01 2.401421078604285867e+03 9.696899532453425730e-01 2.293118546136817953e-02 3.648975892748426304e+02 1.650000000000000078e-02
8.800000000000000000e+01 2.442009583059601482e+03 9.692477464467939008e-01 2.317830128937456088e-02 3.648188575055884826e+02 1.650000000000000078e-02
8.900000000000000000e+01 2.482188083775531595e+03 9.688048793634848055e-01 2.449066089435730439e-02 3.647398412304223143e+02 1.650000000000000078e-02
9.000000000000000000e+01 2.522081528415487355e+03 9.683613593893360960e-01 2.476242734797237666e-02 3.646605402423911073e+02 1.650000000000000078e-02
9.100000000000000000e+01 2.559882951749544191e+03 9.679171939301536298e-01 2.496798275800891920e-02 3.645809543336766865e+02 1.650000000000000078e-02
9.200000000000000000e+01 2.597523455928539079e+03 9.674723904066411251e-01 2.548769579077952291e-02 3.645010832955935598e+02 1.650000000000000078e-02
9.300000000000000000e+01 2.634953632182341607e+03 9.670269562507998184e-01 2.501150235522272419e-02 3.644209269185870426e+02 1.650000000000000078e-02
9.400000000000000000e+01 2.671854242401151623e+03 9.665808989090570735e-01 2.486431775757254325e-02 3.643404849922312678e+02 1.650000000000000078e-02
9.500000000000000000e+01 2.709743450474354177e+03 9.661342258404344019e-01 2.529234441633894728e-02 3.642597573052275379e+02 1.650000000000000078e-02
9.600000000000000000e+01 2.747750882338580141e+03 9.656869445172534538e-01 2.625985044985026245e-02 3.641787436454020508e+02 1.650000000000000078e-02
9.700000000000000000e+01 2.785356585482120408e+03 9.652390624241254935e-01 2.683038000101808582e-02 3.640974437997041377e+02 1.650000000000000078e-02
9.800000000000000000e+01 2.821494356248330405e+03 9.647907083926546834e-01 2.733273903047993628e-02 3.640158575542042740e+02 1.650000000000000078e-02
9.900000000000000000e+01 2.857048669114331460e+03 9.643420103669284593e-01 2.524937635497278426e-02 3.639340289793154284e+02 1.650000000000000078e-02
1.000000000000000000e+02 2.892506121522186731e+03 9.638928535909043749e-01 2.510955453034015294e-02 3.638519578935998879e+02 1.650000000000000078e-02
1.010000000000000000e+02 2.930829833191497073e+03 9.634433654716967332e-01 2.492318604912699409e-02 3.637695998068894028e+02 1.650000000000000078e-02
1.020000000000000000e+02 2.969356900400423910e+03 9.629936726052240603e-01 2.399139479974545311e-02 3.636870431411363711e+02 1.650000000000000078e-02
1.030000000000000000e+02 3.008538459089840217e+03 9.625435617580995196e-01 2.466277522545420875e-02 3.636042434163251187e+02 1.650000000000000078e-02
1.040000000000000000e+02 3.049092290441103614e+03 9.620926588545283265e-01 2.518343429354254204e-02 3.635219616567435423e+02 1.650000000000000078e-02
1.050000000000000000e+02 3.088424903418791928e+03 9.616406874607785760e-01 2.575016655456621728e-02 3.634395478874728838e+02 1.650000000000000078e-02
1.060000000000000000e+02 3.127113694174055126e+03 9.611876486007405740e-01 2.480905972151552577e-02 3.633568490276872467e+02 1.650000000000000078e-02
1.070000000000000000e+02 3.165337435752072906e+03 9.607337835151280592e-01 2.399524863082591261e-02 3.632739527306657692e+02 1.650000000000000078e-02
1.080000000000000000e+02 3.205164565918178596e+03 9.602789729342442460e-01 2.326750860658382408e-02 3.631908588463736578e+02 1.650000000000000078e-02
1.090000000000000000e+02 3.246761096881302819e+03 9.598232178150284399e-01 2.395187183896299241e-02 3.631075232651566012e+02 1.650000000000000078e-02
1.100000000000000000e+02 3.289087457555915080e+03 9.593667591076987522e-01 2.425898282531439853e-02 3.630239897719655460e+02 1.650000000000000078e-02
1.110000000000000000e+02 3.330495496853705390e+03 9.589095975045780484e-01 2.429721289717897206e-02 3.629403021978175730e+02 1.650000000000000078e-02
1.120000000000000000e+02 3.371349378711611280e+03 9.584516138023098097e-01 2.374842435141100508e-02 3.628564164316991310e+02 1.650000000000000078e-02
